Day,RecordCount
1-Nov-16,7393
3-Nov-16,6693
2-Nov-16,7268
4-Nov-16,6188
5-Nov-16,4797
6-Nov-16,6917
7-Nov-16,7768
8-Nov-16,6782
9-Nov-16,6090
10-Nov-16,6769
11-Nov-16,6118
12-Nov-16,5083
13-Nov-16,6343
14-Nov-16,7329
15-Nov-16,7536
16-Nov-16,7338
17-Nov-16,6991
18-Nov-16,5895
19-Nov-16,4811
20-Nov-16,6161
21-Nov-16,7113
22-Nov-16,6982
23-Nov-16,5971
24-Nov-16,4313
25-Nov-16,6043
26-Nov-16,6598
27-Nov-16,8647
28-Nov-16,10253
29-Nov-16,10423
30-Nov-16,10383
1-Dec-16,9283
2-Dec-16,8170
3-Dec-16,6862
4-Dec-16,8913
5-Dec-16,9872
6-Dec-16,10126
7-Dec-16,9803
8-Dec-16,9604
9-Dec-16,8673
10-Dec-16,7461
11-Dec-16,9642
12-Dec-16,10725
13-Dec-16,10731
14-Dec-16,10070
15-Dec-16,9633
16-Dec-16,9048
17-Dec-16,7915
18-Dec-16,9116
19-Dec-16,10782
20-Dec-16,10743
21-Dec-16,10348
22-Dec-16,9806
23-Dec-16,8155
24-Dec-16,6174
25-Dec-16,7113
26-Dec-16,12466
27-Dec-16,14768
28-Dec-16,15938
29-Dec-16,16317
30-Dec-16,14598
31-Dec-16,11445
1-Jan-17,14451
2-Jan-17,20593
3-Jan-17,20778
4-Jan-17,22271
5-Jan-17,21904
6-Jan-17,19215
7-Jan-17,20060
8-Jan-17,25014
9-Jan-17,26143
10-Jan-17,27234
11-Jan-17,27479
12-Jan-17,28476
13-Jan-17,27558
14-Jan-17,27626
15-Jan-17,37214
16-Jan-17,48920
17-Jan-17,63768
